Source,Sector,Property No,Room No,Type,Rent,Availability,Notes,PublicRef,ListingIntent,WebsiteStatus,PhotoFolder,WebsiteDescription,SourceInventoryRef,VerificationStatus,InternalNotes,ListingStatusDate,,MediaFolderLink
FnF,Sec 51,Fnf-N 74,G001,1BHK,30K,1-Jun-26,Rent Ok,MRH-1108,Rent,Hidden,MRH-1108,1BHK in Sec 51,FnF-Fnf-N 74-G001,Pending,,,,https://drive.google.com/drive/folders/191fDSPKAPCVkZ9lZ13TYKBZjzakdOEZ5
FnF,Sec 52,Fnf-675,B-001,1BHK,25K,1-Jun-26,Rent Ok,MRH-1109,Rent,Hidden,MRH-1109,1BHK in Sec 52,FnF-Fnf-675-B-001,Pending,,,,https://drive.google.com/drive/folders/10vREYinNZXZvKRW_-wwQObgzyEtXkdrq
FnF,Sec 52,Fnf-860A,B002,1RK,18K,1-Jun-26,Rent Ok,MRH-1110,Rent,Hidden,MRH-1110,1RK in Sec 52,FnF-Fnf-860A-B002,Pending,,,,https://drive.google.com/drive/folders/19opgQih0XRQX-gCV2iuFafks7aFxk6vD
FnF,Sec 52,Fnf-860A,301,1RK,22K,1-Jun-26,Rent Ok,MRH-1111,Rent,Hidden,MRH-1111,1RK in Sec 52,FnF-Fnf-860A-301,Pending,,,,https://drive.google.com/drive/folders/19Hqasw-HUeoS_qHwkus85BtCwsv-aj4k
FnF,Sec 53,443,G002,1BHK,30K,1-Jun-26,Rent Ok,MRH-1112,Rent,Hidden,MRH-1112,1BHK in Sec 53,FnF-443-G002,Pending,,,,https://drive.google.com/drive/folders/119greE3pgtIYBQ02Zhkym-oN53zYXkXX
FnF,Sec 55,Fnf-107,102,1BHK,40K,1-Jun-26,Rent Ok,MRH-1113,Rent,Hidden,MRH-1113,1BHK in Sec 55,FnF-Fnf-107-102,Pending,,,,https://drive.google.com/drive/folders/1njhz5wAcY95JIpI5c4DE_4qgWHHP0ZG-
Dore,Sec-52,1197,402,1BHK,25K,Immediately,,MRH-1114,Rent,Live,MRH-1114,1BHK in Sec-52,Dore-1197-402,Pending,,,,https://drive.google.com/drive/folders/1-9Ma8P7iT8EubOh7Lppo_DKITVIuWOzc
Dore,Sec-52,1197,302,1BHK,25K,01-06-2026,,MRH-1115,Rent,Hidden,MRH-1115,1BHK in Sec-52,Dore-1197-302,Pending,,,,https://drive.google.com/drive/folders/1S1vLQy9dqA_euYohx-IY6TihICyrXG6C
Dore,Sec-52,54/23,4F,1BHK,22K,01-06-2026,Room/Floor ambiguity: room listed as 4F,MRH-1116,Rent,Hidden,MRH-1116,1BHK in Sec-52,Dore-54/23-4F,Pending,,,,https://drive.google.com/drive/folders/1w4wxaQ8oJUxaoWFMKmkvpM0ZT-En4N6C
Dore,Sec-52,1534/C,307,1BHK,27K,01-06-2025,,MRH-1117,Rent,Hidden,MRH-1117,1BHK in Sec-52,Dore-1534/C-307,Pending,,,,https://drive.google.com/drive/folders/1Y2VV2bGb725cpBn4w0pzUA4qeLfuyDqJ
